uid	code	category	long_description	short_description
913308	15030	1		Integumentary system
913309	15031	1		Integumentary system
913310	15032	1		Integumentary system
913311	15033	1		Integumentary system
913312	15034	1		Integumentary system
913313	15035	1		Integumentary system
913314	15036	1		Integumentary system
913315	15037	1		Integumentary system
913316	15038	1		Integumentary system
913317	15039	1		Integumentary system
913318	15040	1		Integumentary system
913319	15041	1		Integumentary system
913320	15042	1		Integumentary system
913321	15043	1		Integumentary system
913322	15044	1		Integumentary system
913323	15045	1		Integumentary system
913324	15046	1		Integumentary system
913325	15047	1		Integumentary system
913326	15048	1		Integumentary system
913327	15049	1		Integumentary system
913328	15050	1		Integumentary system
913329	15051	1		Integumentary system
913330	15052	1		Integumentary system
913331	15053	1		Integumentary system
913332	15054	1		Integumentary system
913333	15055	1		Integumentary system
913334	15056	1		Integumentary system
913335	15057	1		Integumentary system
913336	15058	1		Integumentary system
913337	15059	1		Integumentary system
913338	15060	1		Integumentary system
913339	15061	1		Integumentary system
913340	15062	1		Integumentary system
913341	15063	1		Integumentary system
913342	15064	1		Integumentary system
913343	15065	1		Integumentary system
913344	15066	1		Integumentary system
913345	15067	1		Integumentary system
913346	15068	1		Integumentary system
913347	15069	1		Integumentary system
913348	15070	1		Integumentary system
913349	15071	1		Integumentary system
913350	15072	1		Integumentary system
913351	15073	1		Integumentary system
913352	15074	1		Integumentary system
913353	15075	1		Integumentary system
913354	15076	1		Integumentary system
913355	15077	1		Integumentary system
913356	15078	1		Integumentary system
913357	15079	1		Integumentary system
913358	15080	1		Integumentary system
913359	15081	1		Integumentary system
913360	15082	1		Integumentary system
913361	15083	1		Integumentary system
913362	15084	1		Integumentary system
913363	15085	1		Integumentary system
913364	15086	1		Integumentary system
913365	15087	1		Integumentary system
913366	15088	1		Integumentary system
913367	15089	1		Integumentary system
913368	15090	1		Integumentary system
913369	15091	1		Integumentary system
913370	15092	1		Integumentary system
913371	15093	1		Integumentary system
913372	15094	1		Integumentary system
913373	15095	1		Integumentary system
913374	15096	1		Integumentary system
913375	15097	1		Integumentary system
913376	15098	1		Integumentary system
913377	15099	1		Integumentary system
913378	15100	1		Integumentary system
913379	15101	1		Integumentary system
913380	15102	1		Integumentary system
913381	15103	1		Integumentary system
913382	15104	1		Integumentary system
913383	15105	1		Integumentary system
913384	15106	1		Integumentary system
913385	15107	1		Integumentary system
913386	15108	1		Integumentary system
913387	15109	1		Integumentary system
913388	15110	1		Integumentary system
913389	15111	1		Integumentary system
913390	15112	1		Integumentary system
913391	15113	1		Integumentary system
913392	15114	1		Integumentary system
913393	15115	1		Integumentary system
913394	15116	1		Integumentary system
913395	15117	1		Integumentary system
913396	15118	1		Integumentary system
913397	15119	1		Integumentary system
913398	15120	1		Integumentary system
913399	15121	1		Integumentary system
913400	15122	1		Integumentary system
913401	15123	1		Integumentary system
913402	15124	1		Integumentary system
913403	15125	1		Integumentary system
913404	15126	1		Integumentary system
913405	15127	1		Integumentary system
913406	15128	1		Integumentary system
913407	15129	1		Integumentary system
913408	15130	1		Integumentary system
913409	15131	1		Integumentary system
913410	15132	1		Integumentary system
913411	15133	1		Integumentary system
913412	15134	1		Integumentary system
913413	15135	1		Integumentary system
913414	15136	1		Integumentary system
913415	15137	1		Integumentary system
913416	15138	1		Integumentary system
913417	15139	1		Integumentary system
913418	15140	1		Integumentary system
913419	15141	1		Integumentary system
913420	15142	1		Integumentary system
913421	15143	1		Integumentary system
913422	15144	1		Integumentary system
913423	15145	1		Integumentary system
913424	15146	1		Integumentary system
913425	15147	1		Integumentary system
913426	15148	1		Integumentary system
913427	15149	1		Integumentary system
913428	15150	1		Integumentary system
913429	15151	1		Integumentary system
913430	15152	1		Integumentary system
913431	15153	1		Integumentary system
913432	15154	1		Integumentary system
913433	15155	1		Integumentary system
913434	15156	1		Integumentary system
913435	15157	1		Integumentary system
913436	15158	1		Integumentary system
913437	15159	1		Integumentary system
913438	15160	1		Integumentary system
913439	15161	1		Integumentary system
913440	15162	1		Integumentary system
913441	15163	1		Integumentary system
913442	15164	1		Integumentary system
913443	15165	1		Integumentary system
913444	15166	1		Integumentary system
913445	15167	1		Integumentary system
913446	15168	1		Integumentary system
913447	15169	1		Integumentary system
913448	15170	1		Integumentary system
913449	15171	1		Integumentary system
913450	15172	1		Integumentary system
913451	15173	1		Integumentary system
913452	15174	1		Integumentary system
913453	15175	1		Integumentary system
913454	15176	1		Integumentary system
913455	15177	1		Integumentary system
913456	15178	1		Integumentary system
913457	15179	1		Integumentary system
913458	15180	1		Integumentary system
913459	15181	1		Integumentary system
913460	15182	1		Integumentary system
913461	15183	1		Integumentary system
913462	15184	1		Integumentary system
913463	15185	1		Integumentary system
913464	15186	1		Integumentary system
913465	15187	1		Integumentary system
913466	15188	1		Integumentary system
913467	15189	1		Integumentary system
913468	15190	1		Integumentary system
913469	15191	1		Integumentary system
913470	15192	1		Integumentary system
913471	15193	1		Integumentary system
913472	15194	1		Integumentary system
913473	15195	1		Integumentary system
913474	15196	1		Integumentary system
913475	15197	1		Integumentary system
913476	15198	1		Integumentary system
913477	15199	1		Integumentary system
913478	15200	1		Integumentary system
913479	15201	1		Integumentary system
913480	15202	1		Integumentary system
913481	15203	1		Integumentary system
913482	15204	1		Integumentary system
913483	15205	1		Integumentary system
913484	15206	1		Integumentary system
913485	15207	1		Integumentary system
913486	15208	1		Integumentary system
913487	15209	1		Integumentary system
913488	15210	1		Integumentary system
913489	15211	1		Integumentary system
913490	15212	1		Integumentary system
913491	15213	1		Integumentary system
913492	15214	1		Integumentary system
913493	15215	1		Integumentary system
913494	15216	1		Integumentary system
913495	15217	1		Integumentary system
913496	15218	1		Integumentary system
913497	15219	1		Integumentary system
913498	15220	1		Integumentary system
913499	15221	1		Integumentary system
913500	15222	1		Integumentary system
913501	15223	1		Integumentary system
913502	15224	1		Integumentary system
913503	15225	1		Integumentary system
913504	15226	1		Integumentary system
913505	15227	1		Integumentary system
913506	15228	1		Integumentary system
913507	15229	1		Integumentary system
913508	15230	1		Integumentary system
913509	15231	1		Integumentary system
913510	15232	1		Integumentary system
913511	15233	1		Integumentary system
913512	15234	1		Integumentary system
913513	15235	1		Integumentary system
913514	15236	1		Integumentary system
913515	15237	1		Integumentary system
913516	15238	1		Integumentary system
913517	15239	1		Integumentary system
913518	15240	1		Integumentary system
913519	15241	1		Integumentary system
913520	15242	1		Integumentary system
913521	15243	1		Integumentary system
913522	15244	1		Integumentary system
913523	15245	1		Integumentary system
913524	15246	1		Integumentary system
913525	15247	1		Integumentary system
913526	15248	1		Integumentary system
913527	15249	1		Integumentary system
913528	15250	1		Integumentary system
913529	15251	1		Integumentary system
913530	15252	1		Integumentary system
913531	15253	1		Integumentary system
913532	15254	1		Integumentary system
913533	15255	1		Integumentary system
913534	15256	1		Integumentary system
913535	15257	1		Integumentary system
913536	15258	1		Integumentary system
913537	15259	1		Integumentary system
913538	15260	1		Integumentary system
913539	15261	1		Integumentary system
913540	15262	1		Integumentary system
913541	15263	1		Integumentary system
913542	15264	1		Integumentary system
913543	15265	1		Integumentary system
913544	15266	1		Integumentary system
913545	15267	1		Integumentary system
913546	15268	1		Integumentary system
913547	15269	1		Integumentary system
913548	15270	1		Integumentary system
913549	15271	1		Integumentary system
913550	15272	1		Integumentary system
913551	15273	1		Integumentary system
913552	15274	1		Integumentary system
913553	15275	1		Integumentary system
913554	15276	1		Integumentary system
913555	15277	1		Integumentary system
913556	15278	1		Integumentary system
913557	15279	1		Integumentary system
913558	15280	1		Integumentary system
913559	15281	1		Integumentary system
913560	15282	1		Integumentary system
913561	15283	1		Integumentary system
913562	15284	1		Integumentary system
913563	15285	1		Integumentary system
913564	15286	1		Integumentary system
913565	15287	1		Integumentary system
913566	15288	1		Integumentary system
913567	15289	1		Integumentary system
913568	15290	1		Integumentary system
913569	15291	1		Integumentary system
913570	15292	1		Integumentary system
913571	15293	1		Integumentary system
913572	15294	1		Integumentary system
913573	15295	1		Integumentary system
913574	15296	1		Integumentary system
913575	15297	1		Integumentary system
913576	15298	1		Integumentary system
913577	15299	1		Integumentary system
913578	15300	1		Integumentary system
913579	15301	1		Integumentary system
913580	15302	1		Integumentary system
913581	15303	1		Integumentary system
913582	15304	1		Integumentary system
913583	15305	1		Integumentary system
913584	15306	1		Integumentary system
913585	15307	1		Integumentary system
913586	15308	1		Integumentary system
913587	15309	1		Integumentary system
913588	15310	1		Integumentary system
913589	15311	1		Integumentary system
913590	15312	1		Integumentary system
913591	15313	1		Integumentary system
913592	15314	1		Integumentary system
